R,G,B
0.4891856912130849,0.382305164943953,0.11014715236639419
0.49301196597810915,0.3864519897905979,0.12497986210845412
0.5252722757887568,0.4159073032008229,0.0927173248257867
0.48267877190765845,0.37196192745278533,0.10860779946451626
0.5088654440815907,0.4002850877277506,0.11420987724073169
0.4963834278457718,0.38380236550390084,0.11185938652977159
0.45196351001077584,0.3300316278014049,0.15649423760074682
0.4692437657958586,0.3382550880576562,0.11153537581553603
0.4515482907294221,0.32134315949377484,0.11917462248737784
0.48212682303265014,0.33149386266603414,0.11495025611273024
0.4613704257830052,0.36498769594625596,0.12472605493542682
0.4908555280962822,0.38297565983672854,0.11977924695334426
0.5098836509882673,0.37172254799400867,0.10515104152694849
0.4640846235186331,0.34430129553480004,0.14661656620452482
0.49146337669214096,0.3636553149870941,0.15032996961783107
0.44816694603336704,0.3420726415746916,0.139532585799123
0.47661279720118305,0.35356121782080285,0.1569574765601291
0.49872234218563244,0.3788150416941403,0.1775862983379429
0.48830321094698276,0.34613581229754486,0.1102516079110558
0.5034365707463737,0.36520315465974756,0.10270513099053102
0.4732693795295484,0.34052854727686327,0.11121240701023306
0.5221597718624091,0.35760142137202916,0.08051547981559098
0.521528550530122,0.3749853927271805,0.10746880570409983
0.47392499154580403,0.3395878996530781,0.10401345717116198
0.4986990846460818,0.38095999594609475,0.09954812081723005
0.4641202961811993,0.33738199429787286,0.10608229854577288
0.48899165473296485,0.35608286068394357,0.10599636280349937
0.48899165473296485,0.35608286068394357,0.10599636280349937
0.49076177823531447,0.37377702613541836,0.09971437966052259
0.5006315377351137,0.36814919887015407,0.11073402358917045
0.5303559524370095,0.39290646076169183,0.10041568442679535
0.5238008606871754,0.3901453458123011,0.10954477850752337
0.5088814726130364,0.39421978822008164,0.10171575846226066
0.5327862171594856,0.3819742912967144,0.11435923023278383
0.4405290017106026,0.32118672844110474,0.1148949223578569
0.4991156727968442,0.36508455006937973,0.11183978716713398
0.5020386942114347,0.3581962018165599,0.10937132646823718
0.5119518712812319,0.3689238282479763,0.11366091678115223
0.4473517507365494,0.327370763950454,0.11106517829223095
0.49787993829310284,0.3756782738205138,0.10989326820433835
0.5132932982844414,0.3772132706940156,0.11128120919046819
0.5079010258665055,0.379441315690754,0.11068637780935037
0.5236748945512603,0.3815084289386126,0.08966328994808848
0.5267422447705052,0.3686543835095971,0.1146160569251507
0.49525235012308166,0.35673731227785693,0.11408220578004967
0.49554185394939515,0.3708253937106896,0.10999182702204438
0.534364277553403,0.39639480581757147,0.11743981192417167
0.5264482703189847,0.3847203919916049,0.10738104201546639
0.5084110102190363,0.3648287813126393,0.1241688501550218
0.5228821522198748,0.38620776290978415,0.10305632020344155
0.5152593771106364,0.3670003588145456,0.11409945109766724
0.5306462553089357,0.3712127079159532,0.11123933786712238
0.5219100705002431,0.4014174440121528,0.1493768776335496
0.5149100656975882,0.38781825236583556,0.10161832133342552
0.49672579903817743,0.3560973515742107,0.12182210911150801
0.5086216052118961,0.373407375849573,0.10983501855524093
0.5166945338457154,0.38461765872390424,0.10370673299127961
0.4876002962530477,0.35046807462397017,0.11309554207269279
0.5065061465540089,0.3729158594022771,0.11372837563547795
0.513381039155763,0.3781767033946874,0.09638144756939385
0.5308651366390104,0.4080509002973616,0.15908477915104646
0.5301732438833964,0.4073628944851323,0.1323135375029329
0.5405351205670569,0.4179045992279991,0.16119706979108608
0.5185352584720108,0.4113883891312371,0.13395292483050206
0.518434365346043,0.40678084127188296,0.16006189590090583
0.5414324502282362,0.38571791212364054,0.13214724629694
0.5313434172669165,0.39682906656410843,0.15772290116982277
0.4911406968083298,0.35521322474110917,0.14935419992295493
0.4932257131981065,0.35224403039404706,0.14338472824886309
0.4922666796319809,0.34967972254353097,0.13663754316224933
0.5176697273688743,0.3982246952835188,0.1408006958680596
0.49536970780568007,0.37597864218149407,0.17773366867374796
0.4835284316527514,0.34158392597956894,0.13790182626588732
0.49295855592994614,0.36188128691392524,0.15558318728618564
0.5097780969009048,0.38632447125258756,0.16902168757028785
0.4938154995742383,0.37543245706248174,0.18073928098975228
0.4926871809093608,0.35835954608799525,0.16318874538381953
0.5136983922600423,0.3688559890277355,0.1410677881712883
0.5255654333625612,0.37594329170410556,0.1427495503224135
0.49558401361480275,0.3631601741834392,0.16293062501981226
0.5073621440657093,0.35540529417085354,0.11864247953464524
0.523043374413727,0.3814559401722327,0.15562345633029878
0.5115646836965472,0.3738697402842358,0.11569191254229168
0.5016367574524787,0.4017068382936948,0.16140808971023207
0.4767061364923634,0.3395661267286926,0.17257032345376505
0.5218414545569791,0.41828332299918025,0.17611090278588878
0.5174594056916898,0.4187817847420975,0.17729004253352715
0.507657562561813,0.37447630228639883,0.1562186246331252
