label,eccentricity,r,g
01,0.3967140622713511,0.6666666666666666,0.3157894736842105
02,0.38082052459545696,0.6538461538461539,0.3324607329842932
03,0.5071748589685998,0.673469387755102,0.33421052631578946
04,0.1341645106779717,0.6666666666666666,0.3346456692913386
05,0.29080378758440006,0.6781914893617021,0.32180851063829785
06,0.46689998057059257,0.75,0.25
07,0.33707355410513706,0.6666666666666666,0.3125
08,0.27654601997318057,0.6666666666666666,0.25
09,0.5512626076242068,0.7323529411764705,0.25588235294117645
10,0.24262446327862083,0.5801526627512943,0.3613231641961136
11,0.4076922781825468,0.5861243903225013,0.3277512057193657
12,0.45130864054316566,0.6666666666666666,0.2857142857142857
13,0.3799938274219992,0.5714285714285714,0.4
14,0.42465417741315203,0.6666666666666666,0.3337696335078534
15,0.3904412598449579,0.5714285714285714,0.3346456692913386
16,0.4779487906490107,0.6818181818181818,0.3076923076923077
17,0.28284108839576366,0.6666666666666666,0.25
18,0.4411092292388978,0.6977401129943502,0.2909604519774011
19,0.3799938274219992,0.5714285714285714,0.4
20,0.46150462600073083,0.6294416234842907,0.29487179568371713
